date,state,crop,modal_price_rs_per_quintal
2024-04-01,Punjab,Wheat,2934.3
2024-05-01,Punjab,Wheat,2928.4
2024-06-01,Punjab,Wheat,2944.6
2024-07-01,Punjab,Wheat,3198.7
2024-08-01,Punjab,Wheat,3115.6
2024-09-01,Punjab,Wheat,3277.7
2024-10-01,Punjab,Wheat,3402.9
2024-11-01,Punjab,Wheat,3459.6
2024-12-01,Punjab,Wheat,3671.4
2019-01-01,Punjab,Rice,2095.3
2019-02-01,Punjab,Rice,2181.6
2019-03-01,Punjab,Rice,2263.7
2019-04-01,Punjab,Rice,2243.2
2019-05-01,Punjab,Rice,2181.1
2019-06-01,Punjab,Rice,2187.4
2019-07-01,Punjab,Rice,2158.9
2019-08-01,Punjab,Rice,2174.6
2019-09-01,Punjab,Rice,2267.4
2019-10-01,Punjab,Rice,2259.7
2019-11-01,Punjab,Rice,2277.1
2019-12-01,Punjab,Rice,2300.2
2020-01-01,Punjab,Rice,2372.1
2020-02-01,Punjab,Rice,2246.5
2020-03-01,Punjab,Rice,2227.3
2020-04-01,Punjab,Rice,2257.7
2020-05-01,Punjab,Rice,2349.5
2020-06-01,Punjab,Rice,2337.9
2020-07-01,Punjab,Rice,2239.2
2020-08-01,Punjab,Rice,2296.9
2020-09-01,Punjab,Rice,2278.1
2020-10-01,Punjab,Rice,2225.1
2020-11-01,Punjab,Rice,2207.1
2020-12-01,Punjab,Rice,2215.0
2021-01-01,Punjab,Rice,2196.9
2021-02-01,Punjab,Rice,2083.1
2021-03-01,Punjab,Rice,2150.2
2021-04-01,Punjab,Rice,2241.6
2021-05-01,Punjab,Rice,2299.4
2021-06-01,Punjab,Rice,2247.7
2021-07-01,Punjab,Rice,2255.0
2021-08-01,Punjab,Rice,2274.8
2021-09-01,Punjab,Rice,2332.4
2021-10-01,Punjab,Rice,2395.8
2021-11-01,Punjab,Rice,2369.3
2021-12-01,Punjab,Rice,2394.8
2022-01-01,Punjab,Rice,2444.3
2022-02-01,Punjab,Rice,2560.4
2022-03-01,Punjab,Rice,2629.5
2022-04-01,Punjab,Rice,2706.6
2022-05-01,Punjab,Rice,2734.7
2022-06-01,Punjab,Rice,2862.3
2022-07-01,Punjab,Rice,2919.1
2022-08-01,Punjab,Rice,2877.0
2022-09-01,Punjab,Rice,3012.7
2022-10-01,Punjab,Rice,3097.1
2022-11-01,Punjab,Rice,3087.2
2022-12-01,Punjab,Rice,3073.5
2023-01-01,Punjab,Rice,3123.6
2023-02-01,Punjab,Rice,3187.9
2023-03-01,Punjab,Rice,3230.1
2023-04-01,Punjab,Rice,3282.9
2023-05-01,Punjab,Rice,3460.9
2023-06-01,Punjab,Rice,3590.6
2023-07-01,Punjab,Rice,3640.4
2023-08-01,Punjab,Rice,3766.1
2023-09-01,Punjab,Rice,3694.7
2023-10-01,Punjab,Rice,3768.0
2023-11-01,Punjab,Rice,3986.4
2023-12-01,Punjab,Rice,3997.0
2024-01-01,Punjab,Rice,3938.1
2024-02-01,Punjab,Rice,3900.0
2024-03-01,Punjab,Rice,3815.5
2024-04-01,Punjab,Rice,3764.5
2024-05-01,Punjab,Rice,3757.2
2024-06-01,Punjab,Rice,3645.4
2024-07-01,Punjab,Rice,3678.7
2024-08-01,Punjab,Rice,3801.8
2024-09-01,Punjab,Rice,3742.6
2024-10-01,Punjab,Rice,3930.8
2024-11-01,Punjab,Rice,4020.1
2024-12-01,Punjab,Rice,4167.0
2019-01-01,Punjab,Cotton,6319.6
2019-02-01,Punjab,Cotton,6664.3
2019-03-01,Punjab,Cotton,6769.3
2019-04-01,Punjab,Cotton,7018.0
2019-05-01,Punjab,Cotton,6619.4
2019-06-01,Punjab,Cotton,6345.9
2019-07-01,Punjab,Cotton,6598.8
2019-08-01,Punjab,Cotton,6307.8
2019-09-01,Punjab,Cotton,6511.9
2019-10-01,Punjab,Cotton,6073.9
2019-11-01,Punjab,Cotton,6393.7
2019-12-01,Punjab,Cotton,6006.9
2020-01-01,Punjab,Cotton,6224.3
2020-02-01,Punjab,Cotton,6474.5
2020-03-01,Punjab,Cotton,6271.4
2020-04-01,Punjab,Cotton,6511.6
2020-05-01,Punjab,Cotton,6649.4
2020-06-01,Punjab,Cotton,6503.2
2020-07-01,Punjab,Cotton,6195.3
2020-08-01,Punjab,Cotton,5580.9
2020-09-01,Punjab,Cotton,5727.1
2020-10-01,Punjab,Cotton,5280.4
2020-11-01,Punjab,Cotton,5342.7
2020-12-01,Punjab,Cotton,5300.4
2021-01-01,Punjab,Cotton,5528.7
2021-02-01,Punjab,Cotton,5472.7
2021-03-01,Punjab,Cotton,5410.1
2021-04-01,Punjab,Cotton,5661.3
2021-05-01,Punjab,Cotton,5804.0
2021-06-01,Punjab,Cotton,5945.9
2021-07-01,Punjab,Cotton,6141.5
2021-08-01,Punjab,Cotton,5674.8
2021-09-01,Punjab,Cotton,5948.9
2021-10-01,Punjab,Cotton,6187.9
2021-11-01,Punjab,Cotton,5887.6
2021-12-01,Punjab,Cotton,5847.1
2022-01-01,Punjab,Cotton,5871.1
2022-02-01,Punjab,Cotton,5865.0
2022-03-01,Punjab,Cotton,6009.0
2022-04-01,Punjab,Cotton,6516.0
2022-05-01,Punjab,Cotton,6944.4
2022-06-01,Punjab,Cotton,6500.2
2022-07-01,Punjab,Cotton,6768.0
2022-08-01,Punjab,Cotton,7306.4
2022-09-01,Punjab,Cotton,7512.6
2022-10-01,Punjab,Cotton,8009.5
2022-11-01,Punjab,Cotton,8937.1
2022-12-01,Punjab,Cotton,9490.4
2023-01-01,Punjab,Cotton,9677.9
2023-02-01,Punjab,Cotton,10287.0
2023-03-01,Punjab,Cotton,10434.0
2023-04-01,Punjab,Cotton,10517.6
2023-05-01,Punjab,Cotton,10390.8
2023-06-01,Punjab,Cotton,11348.5
2023-07-01,Punjab,Cotton,10928.3
2023-08-01,Punjab,Cotton,11918.4
2023-09-01,Punjab,Cotton,12327.9
2023-10-01,Punjab,Cotton,11477.1
2023-11-01,Punjab,Cotton,11782.1
2023-12-01,Punjab,Cotton,10515.0
2024-01-01,Punjab,Cotton,10937.3
2024-02-01,Punjab,Cotton,11530.9
2024-03-01,Punjab,Cotton,11234.5
2024-04-01,Punjab,Cotton,11385.2
2024-05-01,Punjab,Cotton,12672.8
2024-06-01,Punjab,Cotton,12417.1
2024-07-01,Punjab,Cotton,11795.2
2024-08-01,Punjab,Cotton,12831.4
2024-09-01,Punjab,Cotton,14291.2
2024-10-01,Punjab,Cotton,14393.2
2024-11-01,Punjab,Cotton,15278.5
2024-12-01,Punjab,Cotton,16487.7
2019-01-01,Uttar Pradesh,Wheat,2093.8
2019-02-01,Uttar Pradesh,Wheat,2213.8
2019-03-01,Uttar Pradesh,Wheat,2265.2
2019-04-01,Uttar Pradesh,Wheat,2218.7
2019-05-01,Uttar Pradesh,Wheat,2364.5
2019-06-01,Uttar Pradesh,Wheat,2340.7
2019-07-01,Uttar Pradesh,Wheat,2331.4
2019-08-01,Uttar Pradesh,Wheat,2370.5
2019-09-01,Uttar Pradesh,Wheat,2497.5
2019-10-01,Uttar Pradesh,Wheat,2579.2
2019-11-01,Uttar Pradesh,Wheat,2629.8
2019-12-01,Uttar Pradesh,Wheat,2685.0
2020-01-01,Uttar Pradesh,Wheat,2706.8
2020-02-01,Uttar Pradesh,Wheat,2770.1
2020-03-01,Uttar Pradesh,Wheat,2576.1
2020-04-01,Uttar Pradesh,Wheat,2568.5
2020-05-01,Uttar Pradesh,Wheat,2602.3
2020-06-01,Uttar Pradesh,Wheat,2527.4
2020-07-01,Uttar Pradesh,Wheat,2572.4
2020-08-01,Uttar Pradesh,Wheat,2573.0
2020-09-01,Uttar Pradesh,Wheat,2726.5
2020-10-01,Uttar Pradesh,Wheat,2874.9
2020-11-01,Uttar Pradesh,Wheat,2854.8
2020-12-01,Uttar Pradesh,Wheat,2861.9
2021-01-01,Uttar Pradesh,Wheat,2875.1
2021-02-01,Uttar Pradesh,Wheat,2854.7
2021-03-01,Uttar Pradesh,Wheat,2889.2
2021-04-01,Uttar Pradesh,Wheat,2840.5
2021-05-01,Uttar Pradesh,Wheat,2760.4
2021-06-01,Uttar Pradesh,Wheat,2828.6
2021-07-01,Uttar Pradesh,Wheat,2899.6
2021-08-01,Uttar Pradesh,Wheat,2847.9
2021-09-01,Uttar Pradesh,Wheat,2944.0
2021-10-01,Uttar Pradesh,Wheat,2908.4
2021-11-01,Uttar Pradesh,Wheat,2951.2
2021-12-01,Uttar Pradesh,Wheat,3044.9
2022-01-01,Uttar Pradesh,Wheat,3062.6
2022-02-01,Uttar Pradesh,Wheat,3124.6
2022-03-01,Uttar Pradesh,Wheat,3095.4
2022-04-01,Uttar Pradesh,Wheat,3095.6
2022-05-01,Uttar Pradesh,Wheat,3094.6
2022-06-01,Uttar Pradesh,Wheat,3043.4
2022-07-01,Uttar Pradesh,Wheat,3045.8
2022-08-01,Uttar Pradesh,Wheat,2923.1
2022-09-01,Uttar Pradesh,Wheat,2899.5
2022-10-01,Uttar Pradesh,Wheat,2894.8
2022-11-01,Uttar Pradesh,Wheat,2892.9
2022-12-01,Uttar Pradesh,Wheat,2892.1
2023-01-01,Uttar Pradesh,Wheat,2906.5
2023-02-01,Uttar Pradesh,Wheat,2967.5
2023-03-01,Uttar Pradesh,Wheat,3064.2
2023-04-01,Uttar Pradesh,Wheat,3022.5
2023-05-01,Uttar Pradesh,Wheat,2930.7
2023-06-01,Uttar Pradesh,Wheat,2856.1
2023-07-01,Uttar Pradesh,Wheat,2831.6
2023-08-01,Uttar Pradesh,Wheat,2819.8
2023-09-01,Uttar Pradesh,Wheat,2773.2
2023-10-01,Uttar Pradesh,Wheat,2684.1
2023-11-01,Uttar Pradesh,Wheat,2666.2
2023-12-01,Uttar Pradesh,Wheat,2699.5
2024-01-01,Uttar Pradesh,Wheat,2766.4
2024-02-01,Uttar Pradesh,Wheat,2737.9
2024-03-01,Uttar Pradesh,Wheat,2720.9
2024-04-01,Uttar Pradesh,Wheat,2661.2
2024-05-01,Uttar Pradesh,Wheat,2674.3
2024-06-01,Uttar Pradesh,Wheat,2621.8
2024-07-01,Uttar Pradesh,Wheat,2683.2
2024-08-01,Uttar Pradesh,Wheat,2555.9
2024-09-01,Uttar Pradesh,Wheat,2545.4
2024-10-01,Uttar Pradesh,Wheat,2586.3
2024-11-01,Uttar Pradesh,Wheat,2618.9
2024-12-01,Uttar Pradesh,Wheat,2850.0
2019-01-01,Uttar Pradesh,Rice,1820.4
2019-02-01,Uttar Pradesh,Rice,1746.2
2019-03-01,Uttar Pradesh,Rice,1755.1
2019-04-01,Uttar Pradesh,Rice,1728.3
2019-05-01,Uttar Pradesh,Rice,1784.2
2019-06-01,Uttar Pradesh,Rice,1771.5
2019-07-01,Uttar Pradesh,Rice,1780.3
2019-08-01,Uttar Pradesh,Rice,1764.4
2019-09-01,Uttar Pradesh,Rice,1862.7
2019-10-01,Uttar Pradesh,Rice,1862.2
2019-11-01,Uttar Pradesh,Rice,1970.2
2019-12-01,Uttar Pradesh,Rice,2029.4
2020-01-01,Uttar Pradesh,Rice,2071.5
2020-02-01,Uttar Pradesh,Rice,2107.6
2020-03-01,Uttar Pradesh,Rice,2145.5
2020-04-01,Uttar Pradesh,Rice,2049.0
2020-05-01,Uttar Pradesh,Rice,2048.9
2020-06-01,Uttar Pradesh,Rice,2111.9
2020-07-01,Uttar Pradesh,Rice,2126.2
2020-08-01,Uttar Pradesh,Rice,2062.9
2020-09-01,Uttar Pradesh,Rice,2077.4
2020-10-01,Uttar Pradesh,Rice,2191.1
2020-11-01,Uttar Pradesh,Rice,2283.4
2020-12-01,Uttar Pradesh,Rice,2297.7
2021-01-01,Uttar Pradesh,Rice,2374.6
2021-02-01,Uttar Pradesh,Rice,2368.6
2021-03-01,Uttar Pradesh,Rice,2276.5
2021-04-01,Uttar Pradesh,Rice,2236.1
2021-05-01,Uttar Pradesh,Rice,2347.7
2021-06-01,Uttar Pradesh,Rice,2348.5
2021-07-01,Uttar Pradesh,Rice,2352.1
2021-08-01,Uttar Pradesh,Rice,2352.6
2021-09-01,Uttar Pradesh,Rice,2494.2
2021-10-01,Uttar Pradesh,Rice,2625.3
2021-11-01,Uttar Pradesh,Rice,2805.1
2021-12-01,Uttar Pradesh,Rice,2815.4
2022-01-01,Uttar Pradesh,Rice,2859.5
2022-02-01,Uttar Pradesh,Rice,2763.1
2022-03-01,Uttar Pradesh,Rice,2893.9
2022-04-01,Uttar Pradesh,Rice,2823.5
2022-05-01,Uttar Pradesh,Rice,2861.3
2022-06-01,Uttar Pradesh,Rice,2798.4
2022-07-01,Uttar Pradesh,Rice,2776.4
2022-08-01,Uttar Pradesh,Rice,2736.5
2022-09-01,Uttar Pradesh,Rice,2714.5
2022-10-01,Uttar Pradesh,Rice,2697.7
2022-11-01,Uttar Pradesh,Rice,2679.9
2022-12-01,Uttar Pradesh,Rice,2761.8
2023-01-01,Uttar Pradesh,Rice,2700.2
2023-02-01,Uttar Pradesh,Rice,2736.4
2023-03-01,Uttar Pradesh,Rice,2846.7
2023-04-01,Uttar Pradesh,Rice,2827.9
2023-05-01,Uttar Pradesh,Rice,2794.1
2023-06-01,Uttar Pradesh,Rice,2798.5
2023-07-01,Uttar Pradesh,Rice,2910.8
2023-08-01,Uttar Pradesh,Rice,2950.4
2023-09-01,Uttar Pradesh,Rice,2932.9
2023-10-01,Uttar Pradesh,Rice,2996.2
2023-11-01,Uttar Pradesh,Rice,2931.3
2023-12-01,Uttar Pradesh,Rice,3008.9
2024-01-01,Uttar Pradesh,Rice,3065.3
2024-02-01,Uttar Pradesh,Rice,3062.4
2024-03-01,Uttar Pradesh,Rice,3015.1
2024-04-01,Uttar Pradesh,Rice,2964.7
2024-05-01,Uttar Pradesh,Rice,3030.0
2024-06-01,Uttar Pradesh,Rice,3154.6
2024-07-01,Uttar Pradesh,Rice,3125.6
2024-08-01,Uttar Pradesh,Rice,3190.7
2024-09-01,Uttar Pradesh,Rice,3036.9
2024-10-01,Uttar Pradesh,Rice,3014.4
2024-11-01,Uttar Pradesh,Rice,3036.7
2024-12-01,Uttar Pradesh,Rice,2986.0
2019-01-01,Uttar Pradesh,Sugarcane,337.6
2019-02-01,Uttar Pradesh,Sugarcane,335.4
2019-03-01,Uttar Pradesh,Sugarcane,339.1
2019-04-01,Uttar Pradesh,Sugarcane,340.0
2019-05-01,Uttar Pradesh,Sugarcane,328.4
2019-06-01,Uttar Pradesh,Sugarcane,317.9
2019-07-01,Uttar Pradesh,Sugarcane,316.6
2019-08-01,Uttar Pradesh,Sugarcane,321.3
2019-09-01,Uttar Pradesh,Sugarcane,307.4
2019-10-01,Uttar Pradesh,Sugarcane,306.6
2019-11-01,Uttar Pradesh,Sugarcane,305.5
2019-12-01,Uttar Pradesh,Sugarcane,314.9
2020-01-01,Uttar Pradesh,Sugarcane,314.4
2020-02-01,Uttar Pradesh,Sugarcane,318.4
2020-03-01,Uttar Pradesh,Sugarcane,321.0
2020-04-01,Uttar Pradesh,Sugarcane,310.6
2020-05-01,Uttar Pradesh,Sugarcane,316.8
2020-06-01,Uttar Pradesh,Sugarcane,320.2
2020-07-01,Uttar Pradesh,Sugarcane,325.2
2020-08-01,Uttar Pradesh,Sugarcane,350.5
2020-09-01,Uttar Pradesh,Sugarcane,339.6
2020-10-01,Uttar Pradesh,Sugarcane,352.3
2020-11-01,Uttar Pradesh,Sugarcane,352.6
2020-12-01,Uttar Pradesh,Sugarcane,356.4
2021-01-01,Uttar Pradesh,Sugarcane,358.1
2021-02-01,Uttar Pradesh,Sugarcane,357.3
2021-03-01,Uttar Pradesh,Sugarcane,355.7
2021-04-01,Uttar Pradesh,Sugarcane,360.0
2021-05-01,Uttar Pradesh,Sugarcane,352.4
2021-06-01,Uttar Pradesh,Sugarcane,359.5
2021-07-01,Uttar Pradesh,Sugarcane,359.2
2021-08-01,Uttar Pradesh,Sugarcane,354.2
2021-09-01,Uttar Pradesh,Sugarcane,353.6
2021-10-01,Uttar Pradesh,Sugarcane,363.9
2021-11-01,Uttar Pradesh,Sugarcane,362.5
2021-12-01,Uttar Pradesh,Sugarcane,366.9
2022-01-01,Uttar Pradesh,Sugarcane,364.1
2022-02-01,Uttar Pradesh,Sugarcane,371.1
2022-03-01,Uttar Pradesh,Sugarcane,377.9
2022-04-01,Uttar Pradesh,Sugarcane,392.8
2022-05-01,Uttar Pradesh,Sugarcane,394.0
2022-06-01,Uttar Pradesh,Sugarcane,401.4
2022-07-01,Uttar Pradesh,Sugarcane,404.8
2022-08-01,Uttar Pradesh,Sugarcane,417.0
2022-09-01,Uttar Pradesh,Sugarcane,414.3
2022-10-01,Uttar Pradesh,Sugarcane,422.4
2022-11-01,Uttar Pradesh,Sugarcane,423.5
2022-12-01,Uttar Pradesh,Sugarcane,425.4
2023-01-01,Uttar Pradesh,Sugarcane,428.4
2023-02-01,Uttar Pradesh,Sugarcane,432.8
2023-03-01,Uttar Pradesh,Sugarcane,434.3
2023-04-01,Uttar Pradesh,Sugarcane,438.6
2023-05-01,Uttar Pradesh,Sugarcane,453.9
2023-06-01,Uttar Pradesh,Sugarcane,465.0
2023-07-01,Uttar Pradesh,Sugarcane,475.4
2023-08-01,Uttar Pradesh,Sugarcane,474.7
2023-09-01,Uttar Pradesh,Sugarcane,470.2
2023-10-01,Uttar Pradesh,Sugarcane,481.2
2023-11-01,Uttar Pradesh,Sugarcane,491.7
2023-12-01,Uttar Pradesh,Sugarcane,507.6
2024-01-01,Uttar Pradesh,Sugarcane,504.8
2024-02-01,Uttar Pradesh,Sugarcane,505.6
2024-03-01,Uttar Pradesh,Sugarcane,493.5
2024-04-01,Uttar Pradesh,Sugarcane,492.9
2024-05-01,Uttar Pradesh,Sugarcane,504.9
2024-06-01,Uttar Pradesh,Sugarcane,504.0
2024-07-01,Uttar Pradesh,Sugarcane,513.2
2024-08-01,Uttar Pradesh,Sugarcane,514.9
2024-09-01,Uttar Pradesh,Sugarcane,521.3
2024-10-01,Uttar Pradesh,Sugarcane,513.7
2024-11-01,Uttar Pradesh,Sugarcane,517.5
2024-12-01,Uttar Pradesh,Sugarcane,492.5
2019-01-01,Maharashtra,Cotton,6412.9
2019-02-01,Maharashtra,Cotton,6727.3
2019-03-01,Maharashtra,Cotton,6944.9
2019-04-01,Maharashtra,Cotton,7568.8
2019-05-01,Maharashtra,Cotton,7236.7
2019-06-01,Maharashtra,Cotton,7980.3
2019-07-01,Maharashtra,Cotton,8448.2
2019-08-01,Maharashtra,Cotton,8407.2
2019-09-01,Maharashtra,Cotton,8991.3
2019-10-01,Maharashtra,Cotton,8519.2
2019-11-01,Maharashtra,Cotton,8199.6
2019-12-01,Maharashtra,Cotton,7986.1
2020-01-01,Maharashtra,Cotton,7811.5
2020-02-01,Maharashtra,Cotton,7417.4
2020-03-01,Maharashtra,Cotton,7961.7
2020-04-01,Maharashtra,Cotton,7908.1
2020-05-01,Maharashtra,Cotton,8119.7
2020-06-01,Maharashtra,Cotton,7932.3
2020-07-01,Maharashtra,Cotton,7211.6
2020-08-01,Maharashtra,Cotton,7375.0
2020-09-01,Maharashtra,Cotton,6667.0
2020-10-01,Maharashtra,Cotton,6692.4
2020-11-01,Maharashtra,Cotton,6243.9
2020-12-01,Maharashtra,Cotton,6960.6
2021-01-01,Maharashtra,Cotton,7352.2
2021-02-01,Maharashtra,Cotton,7444.8
2021-03-01,Maharashtra,Cotton,8007.5
2021-04-01,Maharashtra,Cotton,7698.3
2021-05-01,Maharashtra,Cotton,7984.1
2021-06-01,Maharashtra,Cotton,8133.6
2021-07-01,Maharashtra,Cotton,8315.4
2021-08-01,Maharashtra,Cotton,8956.4
2021-09-01,Maharashtra,Cotton,9382.6
2021-10-01,Maharashtra,Cotton,9600.4
2021-11-01,Maharashtra,Cotton,8807.7
2021-12-01,Maharashtra,Cotton,8410.4
2022-01-01,Maharashtra,Cotton,8411.9
2022-02-01,Maharashtra,Cotton,8512.2
2022-03-01,Maharashtra,Cotton,8050.1
2022-04-01,Maharashtra,Cotton,9162.5
2022-05-01,Maharashtra,Cotton,9986.5
2022-06-01,Maharashtra,Cotton,10391.7
2022-07-01,Maharashtra,Cotton,10515.6
2022-08-01,Maharashtra,Cotton,10478.5
2022-09-01,Maharashtra,Cotton,10018.9
2022-10-01,Maharashtra,Cotton,10136.6
2022-11-01,Maharashtra,Cotton,10351.6
2022-12-01,Maharashtra,Cotton,9726.4
2023-01-01,Maharashtra,Cotton,9969.2
2023-02-01,Maharashtra,Cotton,9953.6
2023-03-01,Maharashtra,Cotton,8993.4
2023-04-01,Maharashtra,Cotton,8639.3
2023-05-01,Maharashtra,Cotton,8511.2
2023-06-01,Maharashtra,Cotton,9450.6
2023-07-01,Maharashtra,Cotton,9812.0
2023-08-01,Maharashtra,Cotton,9178.9
2023-09-01,Maharashtra,Cotton,9492.8
2023-10-01,Maharashtra,Cotton,8767.2
2023-11-01,Maharashtra,Cotton,9345.6
2023-12-01,Maharashtra,Cotton,9171.9
2024-01-01,Maharashtra,Cotton,9188.0
2024-02-01,Maharashtra,Cotton,9911.7
2024-03-01,Maharashtra,Cotton,9289.3
2024-04-01,Maharashtra,Cotton,8652.9
2024-05-01,Maharashtra,Cotton,8444.8
2024-06-01,Maharashtra,Cotton,8987.4
2024-07-01,Maharashtra,Cotton,8318.0
2024-08-01,Maharashtra,Cotton,7105.3
2024-09-01,Maharashtra,Cotton,6986.8
2024-10-01,Maharashtra,Cotton,7248.7
2024-11-01,Maharashtra,Cotton,7773.1
2024-12-01,Maharashtra,Cotton,7632.0
2019-01-01,Maharashtra,Soybean,4099.6
2019-02-01,Maharashtra,Soybean,4050.3
2019-03-01,Maharashtra,Soybean,4114.1
2019-04-01,Maharashtra,Soybean,4230.3
2019-05-01,Maharashtra,Soybean,4155.1
2019-06-01,Maharashtra,Soybean,4191.4
2019-07-01,Maharashtra,Soybean,3719.1
2019-08-01,Maharashtra,Soybean,3629.4
2019-09-01,Maharashtra,Soybean,3737.0
2019-10-01,Maharashtra,Soybean,3588.7
2019-11-01,Maharashtra,Soybean,3625.9
2019-12-01,Maharashtra,Soybean,3730.4
2020-01-01,Maharashtra,Soybean,3694.7
2020-02-01,Maharashtra,Soybean,3749.7
2020-03-01,Maharashtra,Soybean,3600.3
2020-04-01,Maharashtra,Soybean,3588.3
2020-05-01,Maharashtra,Soybean,3718.2
2020-06-01,Maharashtra,Soybean,3772.7
2020-07-01,Maharashtra,Soybean,3693.8
2020-08-01,Maharashtra,Soybean,3762.0
2020-09-01,Maharashtra,Soybean,3920.9
2020-10-01,Maharashtra,Soybean,3563.3
2020-11-01,Maharashtra,Soybean,3789.4
2020-12-01,Maharashtra,Soybean,3755.4
2021-01-01,Maharashtra,Soybean,3858.6
2021-02-01,Maharashtra,Soybean,4107.1
2021-03-01,Maharashtra,Soybean,3862.5
2021-04-01,Maharashtra,Soybean,3755.9
2021-05-01,Maharashtra,Soybean,3729.2
2021-06-01,Maharashtra,Soybean,3614.6
2021-07-01,Maharashtra,Soybean,3943.9
2021-08-01,Maharashtra,Soybean,3810.9
2021-09-01,Maharashtra,Soybean,3738.3
2021-10-01,Maharashtra,Soybean,3804.0
2021-11-01,Maharashtra,Soybean,3612.0
2021-12-01,Maharashtra,Soybean,3569.3
2022-01-01,Maharashtra,Soybean,3648.7
2022-02-01,Maharashtra,Soybean,3614.5
2022-03-01,Maharashtra,Soybean,3622.0
2022-04-01,Maharashtra,Soybean,3553.5
2022-05-01,Maharashtra,Soybean,3318.1
2022-06-01,Maharashtra,Soybean,3393.1
2022-07-01,Maharashtra,Soybean,3705.5
2022-08-01,Maharashtra,Soybean,3737.1
2022-09-01,Maharashtra,Soybean,3806.7
2022-10-01,Maharashtra,Soybean,3963.4
2022-11-01,Maharashtra,Soybean,3750.5
2022-12-01,Maharashtra,Soybean,4085.7
2023-01-01,Maharashtra,Soybean,4153.9
2023-02-01,Maharashtra,Soybean,4508.6
2023-03-01,Maharashtra,Soybean,4378.8
2023-04-01,Maharashtra,Soybean,4791.6
2023-05-01,Maharashtra,Soybean,5003.3
2023-06-01,Maharashtra,Soybean,5172.2
2023-07-01,Maharashtra,Soybean,5268.8
2023-08-01,Maharashtra,Soybean,5245.8
2023-09-01,Maharashtra,Soybean,5590.5
2023-10-01,Maharashtra,Soybean,5671.6
2023-11-01,Maharashtra,Soybean,5175.9
2023-12-01,Maharashtra,Soybean,4934.5
2024-01-01,Maharashtra,Soybean,4924.5
2024-02-01,Maharashtra,Soybean,5031.0
2024-03-01,Maharashtra,Soybean,5050.4
2024-04-01,Maharashtra,Soybean,5380.5
2024-05-01,Maharashtra,Soybean,4910.9
2024-06-01,Maharashtra,Soybean,4979.6
2024-07-01,Maharashtra,Soybean,4579.6
2024-08-01,Maharashtra,Soybean,4782.5
2024-09-01,Maharashtra,Soybean,4797.8
2024-10-01,Maharashtra,Soybean,4932.1
2024-11-01,Maharashtra,Soybean,4763.6
