year,state,crop,season,soil_type,rainfall_mm,avg_temp_c,fertilizer_kg_per_ha,pesticide_l_per_ha,irrigation_coverage_pct,area_hectare,yield_quintal_per_hectare
2016,Gujarat,Cotton,Kharif,Black,838.9,24.4,126.2,2.57,31.0,128337.0,14.1
2016,Gujarat,Groundnut,Kharif,Black,888.4,26.7,134.5,2.74,44.4,202519.0,16.59
2016,Gujarat,Bajra,Kharif,Black,813.1,21.2,102.1,2.74,82.3,118321.0,13.74
2016,Andhra Pradesh,Rice,Kharif,Red,1072.7,34.7,168.0,1.84,22.9,31257.0,27.24
2016,Andhra Pradesh,Cotton,Kharif,Red,877.5,23.4,123.8,3.17,33.4,34342.0,15.54
2016,Andhra Pradesh,Chilli,Kharif,Red,1177.0,27.0,177.0,2.11,85.5,26295.0,20.31
2017,Punjab,Wheat,Rabi,Alluvial,575.6,17.8,105.4,2.21,27.0,163250.0,32.75
2017,Punjab,Rice,Kharif,Alluvial,526.3,25.8,125.2,3.19,37.7,47477.0,25.63
2017,Punjab,Cotton,Kharif,Alluvial,506.9,27.7,138.7,1.69,43.5,32450.0,14.89
2017,Uttar Pradesh,Wheat,Rabi,Alluvial,899.7,17.6,142.5,1.34,70.0,145045.0,34.44
2017,Uttar Pradesh,Rice,Kharif,Alluvial,910.1,25.1,94.9,1.23,60.2,129365.0,25.8
2017,Uttar Pradesh,Sugarcane,Kharif,Alluvial,920.2,22.8,138.3,0.66,30.8,135484.0,663.71
2017,Uttar Pradesh,Sugarcane,Rabi,Alluvial,768.2,22.5,125.6,2.54,65.6,67387.0,750.18
2017,Maharashtra,Cotton,Kharif,Black,559.9,25.0,154.4,3.4,50.9,208502.0,13.3
2017,Maharashtra,Soybean,Kharif,Black,899.1,27.2,136.1,3.03,61.8,145746.0,11.66
2017,Maharashtra,Jowar,Kharif,Black,920.2,25.9,149.9,2.07,46.6,167973.0,10.28
2017,Madhya Pradesh,Soybean,Kharif,Black,906.4,30.0,129.8,1.63,17.6,112588.0,11.03
2017,Madhya Pradesh,Wheat,Rabi,Black,966.1,24.2,148.2,2.13,50.6,99053.0,34.72
2017,Madhya Pradesh,Gram,Kharif,Black,1096.5,23.3,168.6,2.88,67.7,39122.0,13.09
2017,Madhya Pradesh,Gram,Rabi,Black,994.4,20.6,128.5,2.73,38.0,65880.0,10.84
2017,Karnataka,Ragi,Kharif,Red,1005.8,28.2,148.3,2.96,49.6,88810.0,15.04
2017,Karnataka,Ragi,Rabi,Red,1012.4,20.9,158.9,2.42,36.6,181409.0,15.98
2017,Karnataka,Maize,Kharif,Red,1472.2,25.1,108.9,3.23,19.4,49491.0,29.07
2017,Karnataka,Maize,Rabi,Red,1230.0,19.9,147.0,2.33,32.5,128943.0,28.15
2017,Karnataka,Cotton,Kharif,Red,1244.2,28.2,145.6,0.96,92.6,178273.0,17.41
2017,Rajasthan,Bajra,Kharif,Arid,531.0,25.7,115.3,3.02,52.5,246286.0,13.28
2017,Rajasthan,Mustard,Kharif,Arid,493.9,22.8,178.2,1.51,34.8,18417.0,13.27
2017,Rajasthan,Mustard,Rabi,Arid,473.8,20.2,107.8,1.86,29.1,185688.0,13.41
2017,Rajasthan,Wheat,Rabi,Arid,301.0,19.4,133.2,1.76,50.4,127100.0,32.52
2017,West Bengal,Rice,Kharif,Alluvial,1955.5,29.8,133.3,3.49,32.9,25911.0,30.57
2017,West Bengal,Jute,Kharif,Alluvial,1482.9,27.0,139.4,3.19,43.5,56427.0,24.17
2017,West Bengal,Jute,Rabi,Alluvial,1458.6,18.6,122.2,1.86,57.1,195004.0,21.65
2017,West Bengal,Potato,Kharif,Alluvial,1755.5,30.1,88.2,1.05,26.8,43034.0,202.42
2017,West Bengal,Potato,Rabi,Alluvial,1173.9,24.4,163.4,1.17,80.4,11639.0,230.89
2017,Bihar,Rice,Kharif,Alluvial,840.3,25.7,152.2,1.21,50.2,164923.0,25.43
2017,Bihar,Wheat,Rabi,Alluvial,1189.5,21.1,131.0,1.11,78.2,168681.0,36.97
2017,Bihar,Maize,Kharif,Alluvial,995.8,27.8,108.7,3.18,44.5,108249.0,28.29
2017,Bihar,Maize,Rabi,Alluvial,920.9,16.5,101.1,1.73,67.1,157916.0,24.33
2017,Gujarat,Cotton,Kharif,Black,957.6,27.5,137.6,0.92,54.2,192083.0,16.42
2017,Gujarat,Groundnut,Kharif,Black,748.7,27.4,130.9,2.12,53.9,70826.0,15.93
2017,Gujarat,Bajra,Kharif,Black,831.8,27.4,135.4,2.08,44.2,246179.0,12.62
2017,Andhra Pradesh,Rice,Kharif,Red,901.9,24.6,150.2,2.99,20.9,164598.0,26.61
2017,Andhra Pradesh,Cotton,Kharif,Red,1025.3,31.2,165.4,3.24,18.2,47966.0,14.02
2017,Andhra Pradesh,Chilli,Kharif,Red,773.2,27.1,152.9,2.31,40.5,25286.0,16.96
2018,Punjab,Wheat,Rabi,Alluvial,481.0,16.6,115.6,1.93,76.1,143769.0,34.37
2018,Punjab,Rice,Kharif,Alluvial,596.0,24.9,157.5,1.29,43.5,12640.0,27.62
2018,Punjab,Cotton,Kharif,Alluvial,842.7,26.8,168.7,0.73,40.9,31117.0,15.72
2018,Uttar Pradesh,Wheat,Rabi,Alluvial,1053.3,18.4,185.3,2.96,67.6,65368.0,39.3
2018,Uttar Pradesh,Rice,Kharif,Alluvial,888.1,23.1,121.8,0.91,50.0,229742.0,27.27
2018,Uttar Pradesh,Sugarcane,Kharif,Alluvial,888.0,27.4,106.6,2.7,66.2,218872.0,757.28
2018,Uttar Pradesh,Sugarcane,Rabi,Alluvial,918.6,21.1,138.2,3.46,21.8,59196.0,707.44
2018,Maharashtra,Cotton,Kharif,Black,1012.7,27.7,108.1,0.6,33.4,229295.0,15.28
2018,Maharashtra,Soybean,Kharif,Black,969.3,28.7,140.7,2.99,55.6,83180.0,12.23
2018,Maharashtra,Jowar,Kharif,Black,895.0,25.9,132.3,2.59,80.1,23854.0,9.81
2018,Madhya Pradesh,Soybean,Kharif,Black,900.5,25.9,176.2,2.38,58.9,83094.0,12.64
2018,Madhya Pradesh,Wheat,Rabi,Black,1081.1,20.2,166.6,2.9,44.7,235072.0,38.0
2018,Madhya Pradesh,Gram,Kharif,Black,1317.4,26.1,128.9,2.71,84.1,108232.0,11.69
2018,Madhya Pradesh,Gram,Rabi,Black,884.6,16.6,117.0,1.2,54.3,77595.0,10.98
2018,Karnataka,Ragi,Kharif,Red,1362.2,24.5,164.6,1.9,50.7,236459.0,16.03
2018,Karnataka,Ragi,Rabi,Red,1138.3,20.4,152.3,2.04,42.2,153896.0,15.85
2018,Karnataka,Maize,Kharif,Red,945.5,25.6,124.1,3.41,78.8,19171.0,30.34
2018,Karnataka,Maize,Rabi,Red,955.6,17.9,151.8,1.17,59.1,204879.0,26.01
2018,Karnataka,Cotton,Kharif,Red,1361.6,31.5,124.7,3.37,47.2,222743.0,15.63
2018,Rajasthan,Bajra,Kharif,Arid,423.4,28.6,190.3,1.73,27.4,26312.0,12.8
2018,Rajasthan,Mustard,Kharif,Arid,397.0,31.5,127.1,1.99,59.5,213546.0,15.94
2018,Rajasthan,Mustard,Rabi,Arid,361.2,18.8,166.1,2.2,66.7,171114.0,14.14
2018,Rajasthan,Wheat,Rabi,Arid,441.8,22.8,160.5,2.54,65.1,175881.0,38.62
2018,West Bengal,Rice,Kharif,Alluvial,1585.8,26.6,143.7,2.73,62.4,87104.0,27.74
2018,West Bengal,Jute,Kharif,Alluvial,1427.3,30.2,144.8,1.28,55.9,159794.0,26.34
2018,West Bengal,Jute,Rabi,Alluvial,1972.9,19.2,145.5,2.12,53.1,191452.0,26.69
2018,West Bengal,Potato,Kharif,Alluvial,1575.3,27.5,128.8,2.62,58.9,78736.0,228.39
2018,West Bengal,Potato,Rabi,Alluvial,1241.0,23.0,101.9,3.11,43.8,16207.0,210.98
2018,Bihar,Rice,Kharif,Alluvial,1308.2,26.8,126.1,3.49,92.6,72039.0,27.42
2018,Bihar,Wheat,Rabi,Alluvial,616.7,21.1,127.4,1.16,59.9,174952.0,29.38
2018,Bihar,Maize,Kharif,Alluvial,785.4,29.2,156.3,2.42,53.0,107833.0,24.88
2018,Bihar,Maize,Rabi,Alluvial,893.5,19.9,146.1,1.19,30.0,224054.0,28.61
2018,Gujarat,Cotton,Kharif,Black,699.5,29.8,148.6,3.03,64.1,193876.0,15.96
2018,Gujarat,Groundnut,Kharif,Black,879.8,27.5,157.7,1.94,41.5,200152.0,19.28
2018,Gujarat,Bajra,Kharif,Black,704.8,23.4,143.2,2.89,41.4,70903.0,12.66
2018,Andhra Pradesh,Rice,Kharif,Red,556.3,25.9,79.4,1.37,70.7,152005.0,24.63
2018,Andhra Pradesh,Cotton,Kharif,Red,696.3,26.9,139.9,2.61,31.8,156448.0,13.9
2018,Andhra Pradesh,Chilli,Kharif,Red,847.2,27.5,89.0,1.55,35.0,26527.0,16.86
2019,Punjab,Wheat,Rabi,Alluvial,829.2,18.6,154.3,0.81,83.0,46033.0,39.62
2019,Punjab,Rice,Kharif,Alluvial,751.5,25.4,157.5,2.91,62.9,179951.0,30.88
2019,Punjab,Cotton,Kharif,Alluvial,671.9,30.3,144.9,2.43,89.7,115818.0,16.76
2019,Uttar Pradesh,Wheat,Rabi,Alluvial,908.7,18.8,132.0,1.51,63.5,244087.0,36.84
2019,Uttar Pradesh,Rice,Kharif,Alluvial,923.1,26.9,193.6,2.66,55.8,141064.0,29.63
2019,Uttar Pradesh,Sugarcane,Kharif,Alluvial,1143.1,24.4,133.6,2.68,21.6,217727.0,689.81
2019,Uttar Pradesh,Sugarcane,Rabi,Alluvial,1321.1,16.9,103.4,0.62,59.5,246974.0,752.81
2019,Maharashtra,Cotton,Kharif,Black,1639.6,25.9,167.0,1.77,54.2,225672.0,16.35
2019,Maharashtra,Soybean,Kharif,Black,901.2,30.7,174.5,0.89,64.9,184613.0,12.75
2019,Maharashtra,Jowar,Kharif,Black,1133.6,25.3,139.4,3.11,78.5,65572.0,11.28
2019,Madhya Pradesh,Soybean,Kharif,Black,585.2,29.9,96.5,1.67,29.1,45063.0,10.72
2019,Madhya Pradesh,Wheat,Rabi,Black,1099.9,20.9,138.8,0.72,64.5,62832.0,36.43
2019,Madhya Pradesh,Gram,Kharif,Black,923.6,29.5,127.7,1.25,85.0,110567.0,12.15
2019,Madhya Pradesh,Gram,Rabi,Black,1125.6,19.1,132.0,2.92,96.5,211822.0,12.86
2019,Karnataka,Ragi,Kharif,Red,1431.6,26.4,135.1,0.67,69.6,71089.0,17.35
2019,Karnataka,Ragi,Rabi,Red,1553.6,19.8,142.0,0.95,15.0,15185.0,16.82
2019,Karnataka,Maize,Kharif,Red,1458.2,29.5,67.6,2.5,77.2,124767.0,27.73
2019,Karnataka,Maize,Rabi,Red,1524.0,17.4,124.4,1.03,93.3,217695.0,32.36
2019,Karnataka,Cotton,Kharif,Red,1495.0,27.4,149.1,2.35,59.0,126808.0,16.99
2019,Rajasthan,Bajra,Kharif,Arid,617.1,30.0,156.0,2.45,32.1,101497.0,13.64
2019,Rajasthan,Mustard,Kharif,Arid,444.8,26.8,148.2,2.85,87.3,218335.0,15.74
2019,Rajasthan,Mustard,Rabi,Arid,492.1,22.4,169.7,2.79,30.4,202922.0,14.41
2019,Rajasthan,Wheat,Rabi,Arid,642.2,19.6,143.1,0.52,33.1,138400.0,32.14
2019,West Bengal,Rice,Kharif,Alluvial,2355.4,24.9,115.2,1.62,11.9,63198.0,28.06
2019,West Bengal,Jute,Kharif,Alluvial,2162.8,25.3,196.3,3.09,5.0,98048.0,28.56
2019,West Bengal,Jute,Rabi,Alluvial,1372.4,15.9,165.6,2.79,100.0,153937.0,28.4
2019,West Bengal,Potato,Kharif,Alluvial,2111.2,28.9,147.0,3.28,39.9,64653.0,226.3
2019,West Bengal,Potato,Rabi,Alluvial,1272.4,19.8,115.3,2.12,32.9,201741.0,219.25
2019,Bihar,Rice,Kharif,Alluvial,943.5,24.5,163.5,0.87,66.0,106320.0,26.79
2019,Bihar,Wheat,Rabi,Alluvial,1340.3,16.7,125.0,1.27,61.4,143991.0,36.07
2019,Bihar,Maize,Kharif,Alluvial,1446.2,27.6,174.1,2.4,57.4,15636.0,31.39
2019,Bihar,Maize,Rabi,Alluvial,1327.0,20.1,122.5,1.73,41.7,154690.0,27.07
2019,Gujarat,Cotton,Kharif,Black,800.9,25.2,162.4,1.77,41.5,206541.0,15.89
2019,Gujarat,Groundnut,Kharif,Black,777.5,32.4,110.3,3.09,61.2,185534.0,17.37
2019,Gujarat,Bajra,Kharif,Black,893.7,27.1,136.3,2.14,43.9,153738.0,12.62
2019,Andhra Pradesh,Rice,Kharif,Red,1069.4,33.4,119.9,2.65,87.8,109909.0,30.4
2019,Andhra Pradesh,Cotton,Kharif,Red,1405.1,26.1,134.9,3.18,43.4,25986.0,14.51
2019,Andhra Pradesh,Chilli,Kharif,Red,959.6,23.9,140.9,2.9,39.6,21565.0,18.71
2020,Punjab,Wheat,Rabi,Alluvial,603.0,22.1,90.2,2.51,62.5,86585.0,37.68
2020,Punjab,Rice,Kharif,Alluvial,612.0,25.2,138.6,3.37,65.8,142763.0,27.42
2020,Punjab,Cotton,Kharif,Alluvial,586.4,23.5,137.2,1.54,36.9,190260.0,16.04
2020,Uttar Pradesh,Wheat,Rabi,Alluvial,874.4,17.3,132.1,3.28,79.3,248158.0,37.15
2020,Uttar Pradesh,Rice,Kharif,Alluvial,1116.9,28.0,144.8,2.98,48.8,36290.0,29.92
2020,Uttar Pradesh,Sugarcane,Kharif,Alluvial,923.7,25.0,106.7,3.31,18.3,26472.0,708.1
2020,Uttar Pradesh,Sugarcane,Rabi,Alluvial,631.5,14.6,149.7,1.99,100.0,230251.0,742.56
2020,Maharashtra,Cotton,Kharif,Black,945.9,29.3,132.7,2.92,41.6,217674.0,15.86
2020,Maharashtra,Soybean,Kharif,Black,932.8,25.1,153.4,3.43,37.0,89794.0,12.81
2020,Maharashtra,Jowar,Kharif,Black,1045.4,26.9,160.4,2.79,55.2,153532.0,9.97
2020,Madhya Pradesh,Soybean,Kharif,Black,743.1,26.2,124.8,0.91,51.3,11324.0,11.67
2020,Madhya Pradesh,Wheat,Rabi,Black,1007.0,19.8,152.2,2.02,36.2,81395.0,34.92
2020,Madhya Pradesh,Gram,Kharif,Black,719.1,28.5,178.3,0.68,79.4,42246.0,11.33
2020,Madhya Pradesh,Gram,Rabi,Black,1166.0,20.4,131.6,1.22,42.7,246001.0,11.36
2020,Karnataka,Ragi,Kharif,Red,977.2,27.4,144.0,2.35,55.1,204423.0,17.15
2020,Karnataka,Ragi,Rabi,Red,769.8,13.6,163.4,3.16,27.7,37024.0,14.84
2020,Karnataka,Maize,Kharif,Red,829.3,22.5,153.5,0.53,70.2,193480.0,27.52
2020,Karnataka,Maize,Rabi,Red,560.6,18.6,149.8,1.15,54.7,136151.0,25.56
2020,Karnataka,Cotton,Kharif,Red,1073.2,24.6,169.9,1.96,51.8,29030.0,15.5
2020,Rajasthan,Bajra,Kharif,Arid,331.2,26.6,182.8,1.68,84.4,97093.0,13.76
2020,Rajasthan,Mustard,Kharif,Arid,346.5,29.6,124.9,3.02,91.5,67394.0,16.28
2020,Rajasthan,Mustard,Rabi,Arid,351.0,21.9,147.5,2.34,55.6,160984.0,13.69
2020,Rajasthan,Wheat,Rabi,Arid,426.6,18.3,190.3,0.75,57.7,15210.0,36.42
2020,West Bengal,Rice,Kharif,Alluvial,1447.4,23.6,115.7,2.82,34.1,90677.0,27.58
2020,West Bengal,Jute,Kharif,Alluvial,1699.8,28.8,164.9,1.65,39.9,158043.0,26.17
2020,West Bengal,Jute,Rabi,Alluvial,1337.6,23.3,153.9,2.09,42.1,162757.0,26.61
2020,West Bengal,Potato,Kharif,Alluvial,1415.2,27.7,178.2,2.47,65.2,203884.0,233.28
2020,West Bengal,Potato,Rabi,Alluvial,1189.2,17.4,90.8,2.34,50.6,112654.0,207.6
2020,Bihar,Rice,Kharif,Alluvial,1062.6,29.0,161.5,3.04,43.3,216036.0,27.98
2020,Bihar,Wheat,Rabi,Alluvial,1058.1,19.4,180.2,2.69,68.3,211290.0,39.37
2020,Bihar,Maize,Kharif,Alluvial,1039.7,23.8,150.0,1.14,42.0,205357.0,30.64
2020,Bihar,Maize,Rabi,Alluvial,1010.7,20.8,182.6,2.03,66.3,149635.0,27.67
2020,Gujarat,Cotton,Kharif,Black,795.4,28.0,172.2,1.88,68.5,44218.0,16.35
2020,Gujarat,Groundnut,Kharif,Black,593.2,25.5,154.7,2.7,31.1,140996.0,16.92
2020,Gujarat,Bajra,Kharif,Black,851.3,25.5,136.6,0.61,55.3,191443.0,13.32
2020,Andhra Pradesh,Rice,Kharif,Red,928.8,26.7,150.5,0.95,69.4,85098.0,28.75
2020,Andhra Pradesh,Cotton,Kharif,Red,1090.3,26.0,145.6,1.74,73.7,100924.0,15.32
2020,Andhra Pradesh,Chilli,Kharif,Red,1020.8,25.6,204.0,0.69,85.8,162370.0,22.97
2021,Punjab,Wheat,Rabi,Alluvial,921.9,22.6,154.8,2.98,38.6,71106.0,36.04
2021,Punjab,Rice,Kharif,Alluvial,734.0,25.9,157.4,2.05,74.1,198211.0,28.66
2021,Punjab,Cotton,Kharif,Alluvial,730.8,25.2,93.3,1.16,85.3,26707.0,16.96
2021,Uttar Pradesh,Wheat,Rabi,Alluvial,855.1,24.6,170.5,1.73,66.6,33992.0,36.78
2021,Uttar Pradesh,Rice,Kharif,Alluvial,1253.9,31.7,178.6,1.59,57.8,50197.0,27.28
2021,Uttar Pradesh,Sugarcane,Kharif,Alluvial,1109.4,26.6,128.3,3.03,23.1,218819.0,741.84
2021,Uttar Pradesh,Sugarcane,Rabi,Alluvial,947.9,17.1,68.2,0.74,54.4,37703.0,782.53
2021,Maharashtra,Cotton,Kharif,Black,1664.6,25.9,124.9,0.91,64.4,154505.0,16.5
2021,Maharashtra,Soybean,Kharif,Black,1564.4,26.7,134.9,1.24,50.5,69118.0,12.99
2021,Maharashtra,Jowar,Kharif,Black,1492.1,25.0,177.3,1.96,49.6,21015.0,9.66
2021,Madhya Pradesh,Soybean,Kharif,Black,1417.8,28.8,133.0,2.49,56.3,10347.0,13.28
2021,Madhya Pradesh,Wheat,Rabi,Black,879.1,18.7,159.9,2.2,29.9,53534.0,35.35
2021,Madhya Pradesh,Gram,Kharif,Black,1215.3,23.0,169.1,0.95,40.3,32953.0,11.47
2021,Madhya Pradesh,Gram,Rabi,Black,1267.3,22.9,114.6,2.67,56.2,215734.0,11.89
2021,Karnataka,Ragi,Kharif,Red,1305.6,24.9,142.2,1.95,63.7,117284.0,18.34
2021,Karnataka,Ragi,Rabi,Red,803.3,17.5,155.5,2.04,96.1,20257.0,16.73
2021,Karnataka,Maize,Kharif,Red,1743.9,25.4,120.0,1.49,57.5,45353.0,32.01
2021,Karnataka,Maize,Rabi,Red,1479.2,19.4,132.7,2.82,23.7,246322.0,30.33
2021,Karnataka,Cotton,Kharif,Red,1378.3,26.5,219.8,2.47,46.5,30841.0,17.94
2021,Rajasthan,Bajra,Kharif,Arid,534.9,23.4,163.0,2.4,41.6,146510.0,13.79
2021,Rajasthan,Mustard,Kharif,Arid,645.1,27.2,161.3,2.59,42.1,43699.0,15.72
2021,Rajasthan,Mustard,Rabi,Arid,492.6,19.0,116.1,2.35,63.5,112879.0,15.11
2021,Rajasthan,Wheat,Rabi,Arid,657.5,19.8,151.3,2.5,33.8,246107.0,36.25
2021,West Bengal,Rice,Kharif,Alluvial,1801.1,29.5,169.7,3.17,100.0,181242.0,31.95
2021,West Bengal,Jute,Kharif,Alluvial,1745.4,27.8,132.6,2.12,34.9,205671.0,27.7
2021,West Bengal,Jute,Rabi,Alluvial,2305.8,19.7,87.0,2.98,42.8,126082.0,24.1
2021,West Bengal,Potato,Kharif,Alluvial,1694.5,29.1,153.7,1.22,47.2,29656.0,226.22
2021,West Bengal,Potato,Rabi,Alluvial,2405.8,19.2,170.4,3.02,85.4,91332.0,252.44
2021,Bihar,Rice,Kharif,Alluvial,1333.8,24.7,148.1,1.48,45.7,170664.0,29.43
